sku,name,image_actuelle_pos0,classif_actuelle,image_proposee_pos0,classif_proposee,changement
84A-009BK,"Patio Glider with Breathable Mesh Fabric, Outdoor Glider Chair, Garden Rocking Gliding Seat for Patio, Yard, Porch, Black",https://img-us.aosomcdn.com/100/product/2026/01/13/mCA8fb19bb78f347f.jpg,fond_blanc,https://img-us.aosomcdn.com/100/product/2025/01/20/eC8d1719483bad19a.jpg,lifestyle,oui
84A-054V05BK,"3-Seater Outdoor Porch Swing with Adjustable Canopy, Patio Swing Chair for Garden, Poolside, Backyard, Black",https://img-us.aosomcdn.com/100/product/2026/05/21/lkCff319e4a6c223e.jpg,fond_blanc,https://img-us.aosomcdn.com/100/product/2026/05/21/nrNc7819e4a6c223e.jpg,lifestyle,oui
845-792V00YL,"Wood Planter with Trellis for Vine Climbing, Raised Garden Bed, Privacy Screen for Backyard, Patio, Deck, Yellow",https://img-us.aosomcdn.com/100/product/2026/03/26/WjG21a19d2bc4ea7b.jpg,fond_blanc,https://img-us.aosomcdn.com/100/product/2026/03/26/xV4e3619d2bc4ea7b.jpg,lifestyle,oui
84K-241V00LG,"Zero Gravity Chair Set of 2, Folding Reclining Outdoor Lounge Chair with Cup Holder, Headrest, Light Grey",https://img-us.aosomcdn.com/100/product/2026/05/13/gbd1e519e21379402.jpg,fond_blanc,https://img-us.aosomcdn.com/100/product/2026/05/13/Kr8a4019e21379402.jpg,lifestyle,oui
845-039V01GY,"Galvanized Raised Garden Bed, Outdoor Planter Box for Vegetables, Flowers, Herbs, 4' x 2' x 1', Grey",https://img-us.aosomcdn.com/100/product/2023/04/03/8QE98a18746cb5ede.jpg,lifestyle,https://img-us.aosomcdn.com/100/product/2023/04/03/8QE98a18746cb5ede.jpg,lifestyle,non
845-652V00GY,"Foldable Elevated Planter Box, Wooden Raised Garden Bed for Backyard, Patio to Grow Vegetables, Herbs, Flowers, Grey",https://img-us.aosomcdn.com/100/product/2023/12/18/9RPac718c7bde8c41.jpg,fond_blanc,https://img-us.aosomcdn.com/100/product/2024/05/29/SFVb7818fc31411b3.jpg,lifestyle,oui
01-0893,Patio Double Glider Bench Swing Chair Rocker Heavy-Duty Loveseat Outdoor Garden Rocking Bench Steel Frame Sling Fabric Seat Black,https://img-us.aosomcdn.com/100/product/2025/07/14/qJ0446198076bb4d9.jpg,fond_blanc,https://img-us.aosomcdn.com/100/product/2026/05/06/V428f019dfc190af1.jpg,lifestyle,oui
845-518GY,"95"" x 36"" x 12"" Galvanized Raised Garden Bed, Metal Elevated Planter Box for Growing Flowers, Herbs, Succulents, Grey",https://img-us.aosomcdn.com/100/product/2025/01/23/TpV2d019493c22a44.jpg,fond_blanc,https://img-us.aosomcdn.com/100/product/2025/01/23/X5R5e219493c22a44.jpg,lifestyle,oui
84H-209V00CG,"5' x 3' x 2' Raised Garden Bed, Galvanized Planter Box for Growing Flowers, Herbs and Vegetables, Dark Grey",https://img-us.aosomcdn.com/100/product/2025/01/20/Sia7b319482f20daf.jpg,fond_blanc,https://img-us.aosomcdn.com/100/product/2025/01/20/u9Wd1419482f20daf.jpg,lifestyle,oui
845-774V00BK,"Galvanized Raised Garden Bed, Steel Outdoor Planters with Reinforced Rods, 71"" x 35"" x 23"", Black",https://img-us.aosomcdn.com/100/product/2025/05/08/DJKfce196ae984d5a.jpg,fond_blanc,https://img-us.aosomcdn.com/100/product/2025/05/08/R7g24c196ae984d5a.jpg,lifestyle,oui
