action,id,handle,detail_before,detail_after,status
swap,9427840237673,chat-gonflable-halloween-6-pi-noir,pos1=img36280827805801(zRD7411949341221e.jpg),"pos1<-img36280827936873(pos5, m3T0ae1949341221e.jpg)",APPLIED_VERIFIED
swap,9427840270441,faucheuse-moto-gonflable-6-pi-led,pos1=img36280828723305(pHx49719496669d5e.jpg),"pos1<-img36280828887145(pos6, CE749e1a0194277d0.jpg)",APPLIED_VERIFIED
swap,9418506403945,arbre-halloween-gonflable-led-hibou-citrouilles,pos1=img36220826157161(Yw463119493667c7a.jpg),"pos1<-img36220826288233(pos5, JCl7ae19493667c7a.jpg)",APPLIED_VERIFIED
swap,9418516594793,squelette-fantome-gonflable-halloween-del,pos1=img36220828581993(xta3bf19493c231f4.jpg),"pos1<-img36220828713065(pos5, b5k7f519493c231f4.jpg)",APPLIED_VERIFIED
swap,9427840499817,decoration-halloween-clown-anime-170cm-yeux-lumineux,pos1=img36280831901801(0KI2481a05127757c.jpg),"pos1<-img36280832032873(pos5, JI90ea19495b0cf62.jpg)",APPLIED_VERIFIED
swap,9427840467049,clown-halloween-anime-190cm-yeux-lumineux,pos1=img36280831672425(EZ3f23197fe9faa1a.jpg),"pos1<-img36280831803497(pos5, kux31f197fe9faa1a.jpg)",APPLIED_VERIFIED
swap,9427840532585,decoration-gonflable-halloween-citrouille-led,pos1=img36280832557161(6a15ad19493d36bd7.jpg),"pos1<-img36280832688233(pos5, sWe54f19493d36bd7.jpg)",APPLIED_VERIFIED
swap,9427840630889,sorciere-halloween-180cm-animee-capteur,pos1=img36280833474665(2hZ3641949630acf3.jpg),"pos1<-img36280833605737(pos5, oijd5e1949630acf3.jpg)",APPLIED_VERIFIED
swap,9427841024105,zombie-rampant-anime-grandeur-nature-halloween,pos1=img36280841240681(hDZ53619833691d27.jpg),"pos1<-img36280841371753(pos5, JVW21d19833691d27.jpg)",APPLIED_VERIFIED
swap,9427840794729,squelette-anime-halloween-yeux-led,pos1=img36280836882537(5384461983685d4aa.jpg),"pos1<-img36280836980841(pos4, caK39d1983685d4aa.jpg)",APPLIED_VERIFIED
swap,9427841122409,clown-anime-yeux-rouges-lumineux,pos1=img36280841961577(HX0d821a04a80f742.jpg),"pos1<-img36280842125417(pos6, vped011a04a80f742.jpg)",APPLIED_VERIFIED
swap,9427840860265,clown-halloween-anime-empilable-led,pos1=img36280839209065(obW44219833691dfa.jpg),"pos1<-img36280839372905(pos6, fhke6419833691dfa.jpg)",APPLIED_VERIFIED
swap,9427841187945,decoration-gonflable-faucheuse-halloween-12-pieds,pos1=img36280842223721(PlH3511983f8976c3.jpg),"pos1<-img36280842354793(pos5, e6n23b1983db59e4c.jpg)",APPLIED_VERIFIED
