action,id,handle,detail_before,detail_after,status
swap,9376661471337,support-c-chaise-hamac-acier-interieur-exterieur,pos1=img35906553413737(Uli98a185616aafdf_92f8914a-d0d7-4d39-b369-e6cefb7dbd5d.jpg),"pos1<-img35906553577577(pos6, Fmc756185616aafdf_15a628d1-dc20-43c1-8f27-354b784b4078.jpg)",APPLIED_VERIFIED
swap,9371100872809,toilette-portable-camping-chasse-eau-20l,pos1=img35906552791145(Iqx30c197201b483c_5260cfe3-1098-414a-a84d-fdfe57b556aa.jpg),"pos1<-img35906552987753(pos7, ytr90f1983bdde68b_dbd94c1d-5670-44af-9429-113959712231.jpg)",APPLIED_VERIFIED
swap,9371092680809,excavatrice-porteur-enfant-rangement-sons,pos1=img35906553118825(jQU13a19e8cd47ea5_b8620f3d-3f17-4c71-a900-df544e54f789.jpg),"pos1<-img35906553315433(pos7, NQOdc819e8cd47ea5_bfd48fec-7739-46c1-bb6c-e53e480d02ea.jpg)",APPLIED_VERIFIED
swap,9369986302057,armoire-rangement-39-tiroirs-montage-mural,pos1=img35895565811817(3V378f1984332e8f7_5abc2c80-1efc-420b-a57d-0fa850dde524.jpg),"pos1<-img35895566008425(pos7, PnHcf619495e7f8b2_e2856883-52d7-4a8d-b652-96729a249ac5.jpg)",APPLIED_VERIFIED
swap,9371100545129,socle-parasol-ciment-rond-20kg,pos1=img35906363752553(yoOf7819f1ea318a0.jpg),"pos1<-img35906363949161(pos7, CCIf6119f1ea318a0.jpg)",APPLIED_VERIFIED
swap,9369986170985,parc-chien-octogonal-8-panneaux-pliable,pos1=img35876271947881(1sA0521980a558d6d_4f6d2171-7987-401f-aea0-cb35663f170d.jpg),"pos1<-img35876272144489(pos7, b6026e194961d334a_0c153c50-5bce-46e6-be6a-34f55f1037e5.jpg)",APPLIED_VERIFIED
swap,9365034532969,parasol-marche-bambou-305-cm,pos1=img35906569437289(9fuafe1971eed8727_4eec2f93-caaa-4434-b6b7-b43ca42764e9.jpg),"pos1<-img35906569633897(pos7, CdWaf41949478e95f_f300d422-8fcd-4b4a-bd34-a1401f2359df.jpg)",APPLIED_VERIFIED
swap,9369985745001,table-patio-verre-trempe-trou-parasol,pos1=img35906375778409(AJP4c5197da0a39c7.jpg),"pos1<-img35906375975017(pos7, hiRccb1949342504b_cd26c012-afe6-47ab-a801-45245e415cb1.jpg)",APPLIED_VERIFIED
swap,7752211693673,kart-a-pedales-enfant-avec-frein-a-main-et-siege-ajustable,pos1=img35895870390377(2PId67196ceec8ac3_a962afc9-ecf7-4305-b885-c521aefb6580.jpg),"pos1<-img35895870586985(pos7, d7ae4d196ceec8ac3_b59e554a-bc3e-422c-bd24-eb8e30502b21.jpg)",APPLIED_VERIFIED
swap,7798394028137,ventilateur-sur-pied-avec-telecommande-ventilateur-electrique-ajustable,pos1=img35906371027049(tLga6f194960d084c_0492bbbc-15f6-4ff7-a216-b55ebce98ac4.jpg),"pos1<-img35906371223657(pos7, cpT491194960d084c_cb791c99-f297-40b8-a029-6c06061a49a7.jpg)",APPLIED_VERIFIED
