handle,title,field,target,brands,occurrences,needs_review,review_reason,before,after
gazebo-3x3m-double-toit-avec-rangement,Gazébo patio double toit 3 x 3 m avec rangement,en_body,metafield:custom.body_html_en,Outsunny,1,false,,"<div class='product-description'><p>Transform your outdoor space into a comfortable retreat with this elegant Outsunny 10' x 10' gazebo. Perfect for family gatherings, BBQs, or peaceful moments in your backyard.</p><h3>Key Features:</h3><ul><li><strong>Double-tier ventilated roof:</strong> UPF30+ polyester canopy with 8 drainage holes prevents water pooling and provides superior airflow</li><li><strong>Built-in storage:</strong> Curtain with 4 storage pockets (24.4"" x 15.7"") keeps essentials organized and within reach</li><li><strong>Durable steel frame:</strong> Powder-coated steel columns (1.57"" x 1.57"") with beam supports for maximum stability</li><li><strong>Ceiling hook included:</strong> Perfect for hanging lights, fans, or decorations to personalize your space</li><li><strong>Secure installation:</strong> Ground stakes and expansion screws included for firm anchoring on grass or concrete</li><li><strong>Sun protection:</strong> UPF30+ fabric shields you from harmful UV rays</li><li><strong>Spacious design:</strong> 118.1"" x 118.1"" x 108.7"" - comfortably accommodates 6-8 people</li><li><strong>Wind resistant:</strong> Level 4 windproof rating with expansion screws for safe outdoor use</li></ul><p><em>Free shipping across Canada. Assembly required.</em></p></div>","<div class='product-description'><p>Transform your outdoor space into a comfortable retreat with this elegant 10' x 10' gazebo. Perfect for family gatherings, BBQs, or peaceful moments in your backyard.</p><h3>Key Features:</h3><ul><li><strong>Double-tier ventilated roof:</strong> UPF30+ polyester canopy with 8 drainage holes prevents water pooling and provides superior airflow</li><li><strong>Built-in storage:</strong> Curtain with 4 storage pockets (24.4"" x 15.7"") keeps essentials organized and within reach</li><li><strong>Durable steel frame:</strong> Powder-coated steel columns (1.57"" x 1.57"") with beam supports for maximum stability</li><li><strong>Ceiling hook included:</strong> Perfect for hanging lights, fans, or decorations to personalize your space</li><li><strong>Secure installation:</strong> Ground stakes and expansion screws included for firm anchoring on grass or concrete</li><li><strong>Sun protection:</strong> UPF30+ fabric shields you from harmful UV rays</li><li><strong>Spacious design:</strong> 118.1"" x 118.1"" x 108.7"" - comfortably accommodates 6-8 people</li><li><strong>Wind resistant:</strong> Level 4 windproof rating with expansion screws for safe outdoor use</li></ul><p><em>Free shipping across Canada. Assembly required.</em></p></div>"
ensemble-patio-sectionnel-3-pieces-aluminium-avec-table-cafe,Ensemble patio sectionnel aluminium modulaire 3 pièces,en_body,metafield:custom.body_html_en,Outsunny,1,false,,"<div class='product-description'><h3>Transform Your Patio into a Relaxation Haven</h3><p>This Outsunny outdoor sectional set offers exceptional flexibility for your outdoor living space. With two modular loveseats and a versatile coffee table, create the perfect arrangement for your relaxation moments.</p><h4>Key Features:</h4><ul><li><strong>Modular & Versatile</strong> - Detachable backrests transform loveseats into benches</li><li><strong>Rust-Resistant Aluminum</strong> - Powder-coated frame for long-lasting durability</li><li><strong>Comfortable Cushions</strong> - 15 cm thick (back), 8 cm (seat) with removable covers</li><li><strong>Built-in Side Tables</strong> - Convenient trays on each loveseat for drinks and snacks</li><li><strong>2-in-1 Coffee Table</strong> - Use horizontally or vertically as needed</li><li><strong>Water-Splash Resistant</strong> - Protective fiber cloth fabric</li><li><strong>Wood-Plastic Slats</strong> - Prevent water buildup on table surface</li><li><strong>Heavy-Duty Capacity</strong> - Supports up to 240 kg per loveseat</li></ul><h4>Dimensions:</h4><p><strong>Loveseat:</strong> 160 x 68 x 64 cm<br><strong>Coffee Table:</strong> 60 x 34 x 35 cm (horizontal) / 34 x 35 x 60 cm (vertical)</p><p><strong>Available Colors:</strong> Light Grey, Charcoal Grey, Teak</p><p><em>Assembly required. Free shipping available.</em></p></div>","<div class='product-description'><h3>Transform Your Patio into a Relaxation Haven</h3><p>This outdoor sectional set offers exceptional flexibility for your outdoor living space. With two modular loveseats and a versatile coffee table, create the perfect arrangement for your relaxation moments.</p><h4>Key Features:</h4><ul><li><strong>Modular & Versatile</strong> - Detachable backrests transform loveseats into benches</li><li><strong>Rust-Resistant Aluminum</strong> - Powder-coated frame for long-lasting durability</li><li><strong>Comfortable Cushions</strong> - 15 cm thick (back), 8 cm (seat) with removable covers</li><li><strong>Built-in Side Tables</strong> - Convenient trays on each loveseat for drinks and snacks</li><li><strong>2-in-1 Coffee Table</strong> - Use horizontally or vertically as needed</li><li><strong>Water-Splash Resistant</strong> - Protective fiber cloth fabric</li><li><strong>Wood-Plastic Slats</strong> - Prevent water buildup on table surface</li><li><strong>Heavy-Duty Capacity</strong> - Supports up to 240 kg per loveseat</li></ul><h4>Dimensions:</h4><p><strong>Loveseat:</strong> 160 x 68 x 64 cm<br><strong>Coffee Table:</strong> 60 x 34 x 35 cm (horizontal) / 34 x 35 x 60 cm (vertical)</p><p><strong>Available Colors:</strong> Light Grey, Charcoal Grey, Teak</p><p><em>Assembly required. Free shipping available.</em></p></div>"
bac-sureleve-240x60x30cm-acier-galvanise,Bac surélevé galvanisé 8'x2'x1' pour jardin,fr_body,body_html,Aosom,1,false,,"<p>If you have multiple kinds of plants or flowers that you want to keep organised, this Aosom galvanized raised garden bed is a great choice for you. You can grow plants, vegetables, flowers and more in a space of your choosing. This raised planter made from galvanised steel for strength. The 8'x2' size gives plenty of growth space, with it fully open inside so roots have enough space.</p><h3>Features:</h3><ul style=""list-style:none;margin-left:15px;"">
<li>• Open bottom for direct contact with soil. No water build-up in bottom</li>
<li>• Powder coated galvanised steel frames mean strong structures</li>
<li>• Multiple interior support brackets reinforce the structure</li>
<li>• Flat tops: pick up and carry safely</li>
<li>• 4 protective corners avoid accident injury</li>
<li>• Easy to assemble</li>
</ul><h3> Specification:</h3><ul style=""list-style:none;margin-left:15px;"">
<li>• Colour: Green</li>
<li>• Material: Galvanised Steel</li>
<li>• Overall Dimension: 94.5"" L x 23.6"" W x 11.8"" H (240 x 60 x 30 cm)</li>
<li>• Planting Area: 93.3"" L x 22.4"" W x 11.8"" H (237 x 57 x 30 cm)</li>
<li>• Item Label: 84H-110V00GN</li>
</ul><h3>Package Includes:</h3><ul style=""list-style:none;margin-left:15px;"">
<li>• 1 x Raised Bed</li>
<li>• 4 x Connection Panel</li>
<li>• 1 x Manual</li>
</ul>","<p>If you have multiple kinds of plants or flowers that you want to keep organised, this galvanized raised garden bed is a great choice for you. You can grow plants, vegetables, flowers and more in a space of your choosing. This raised planter made from galvanised steel for strength. The 8'x2' size gives plenty of growth space, with it fully open inside so roots have enough space.</p><h3>Features:</h3><ul style=""list-style:none;margin-left:15px;"">
<li>• Open bottom for direct contact with soil. No water build-up in bottom</li>
<li>• Powder coated galvanised steel frames mean strong structures</li>
<li>• Multiple interior support brackets reinforce the structure</li>
<li>• Flat tops: pick up and carry safely</li>
<li>• 4 protective corners avoid accident injury</li>
<li>• Easy to assemble</li>
</ul><h3> Specification:</h3><ul style=""list-style:none;margin-left:15px;"">
<li>• Colour: Green</li>
<li>• Material: Galvanised Steel</li>
<li>• Overall Dimension: 94.5"" L x 23.6"" W x 11.8"" H (240 x 60 x 30 cm)</li>
<li>• Planting Area: 93.3"" L x 22.4"" W x 11.8"" H (237 x 57 x 30 cm)</li>
<li>• Item Label: 84H-110V00GN</li>
</ul><h3>Package Includes:</h3><ul style=""list-style:none;margin-left:15px;"">
<li>• 1 x Raised Bed</li>
<li>• 4 x Connection Panel</li>
<li>• 1 x Manual</li>
</ul>"
bac-sureleve-240x60x30cm-acier-galvanise,Bac surélevé galvanisé 8'x2'x1' pour jardin,en_body,metafield:custom.body_html_en,Outsunny,1,false,,"<div class=""product-description""><h3>Outsunny Galvanized Raised Garden Bed - Grow with Style!</h3><p>Keep your plants, flowers, and vegetables organized with this premium galvanized steel raised garden bed. Perfect for creating your own private growing space wherever you are.</p><h4>Key Features:</h4><ul><li><strong>Generous Size:</strong> 8'x2'x1' (240 x 60 x 30 cm) - plenty of room for all your plants</li><li><strong>Open Bottom Design:</strong> Quick drainage and natural root growth into ground</li><li><strong>Reinforced Structure:</strong> Powder-coated galvanized steel with multiple interior support brackets</li><li><strong>Safety First:</strong> Flat top edges and protective corners prevent accidental injury</li><li><strong>Weather Resistant:</strong> Durable galvanized material built for Canadian outdoor conditions</li><li><strong>Easy Assembly:</strong> Simple setup with included instructions</li><li><strong>Stylish Color:</strong> Dark grey complements any outdoor décor</li><li><strong>Canadian Quality:</strong> Built to withstand harsh weather conditions</li></ul><p><em>Free shipping across Canada!</em></p></div>","<div class=""product-description""><h3> Galvanized Raised Garden Bed - Grow with Style!</h3><p>Keep your plants, flowers, and vegetables organized with this premium galvanized steel raised garden bed. Perfect for creating your own private growing space wherever you are.</p><h4>Key Features:</h4><ul><li><strong>Generous Size:</strong> 8'x2'x1' (240 x 60 x 30 cm) - plenty of room for all your plants</li><li><strong>Open Bottom Design:</strong> Quick drainage and natural root growth into ground</li><li><strong>Reinforced Structure:</strong> Powder-coated galvanized steel with multiple interior support brackets</li><li><strong>Safety First:</strong> Flat top edges and protective corners prevent accidental injury</li><li><strong>Weather Resistant:</strong> Durable galvanized material built for Canadian outdoor conditions</li><li><strong>Easy Assembly:</strong> Simple setup with included instructions</li><li><strong>Stylish Color:</strong> Dark grey complements any outdoor décor</li><li><strong>Canadian Quality:</strong> Built to withstand harsh weather conditions</li></ul><p><em>Free shipping across Canada!</em></p></div>"
bac-sureleve-240x120x60cm-jardiniere-galvanisee-noire,Bac de jardinage surélevé galvanisé extra profond 240x120x60cm,en_body,metafield:custom.body_html_en,Outsunny,1,false,,"<div class='product-description'><p>Elevate your gardening with this premium Outsunny raised garden bed! Perfect for Canadian gardeners, this galvanized steel planter offers exceptional 60cm depth for your vegetables, herbs, and flowers.</p><h3>Key Features:</h3><ul><li><strong>Extra Deep Design:</strong> 60cm depth perfect for deep-rooted plants and vegetables</li><li><strong>Durable Construction:</strong> Powder-coated galvanized steel frame, rust and weather resistant</li><li><strong>Reinforced Structure:</strong> Interior support brackets for maximum stability</li><li><strong>Open Bottom Design:</strong> Allows unrestricted root expansion into ground soil</li><li><strong>Safety First:</strong> Rounded edges and protective corners safe for all family members</li><li><strong>Easy Assembly:</strong> Simple setup with included instructions</li><li><strong>Large Size:</strong> 240L x 120W x 60H cm (interior: 237 x 117 cm planting area)</li><li><strong>Versatile Growing:</strong> Perfect for vegetables, herbs, flowers in Canadian climate</li></ul><p>Free shipping across Canada. Transform your outdoor space into a productive garden today!</p></div>","<div class='product-description'><p>Elevate your gardening with this premium raised garden bed! Perfect for Canadian gardeners, this galvanized steel planter offers exceptional 60cm depth for your vegetables, herbs, and flowers.</p><h3>Key Features:</h3><ul><li><strong>Extra Deep Design:</strong> 60cm depth perfect for deep-rooted plants and vegetables</li><li><strong>Durable Construction:</strong> Powder-coated galvanized steel frame, rust and weather resistant</li><li><strong>Reinforced Structure:</strong> Interior support brackets for maximum stability</li><li><strong>Open Bottom Design:</strong> Allows unrestricted root expansion into ground soil</li><li><strong>Safety First:</strong> Rounded edges and protective corners safe for all family members</li><li><strong>Easy Assembly:</strong> Simple setup with included instructions</li><li><strong>Large Size:</strong> 240L x 120W x 60H cm (interior: 237 x 117 cm planting area)</li><li><strong>Versatile Growing:</strong> Perfect for vegetables, herbs, flowers in Canadian climate</li></ul><p>Free shipping across Canada. Transform your outdoor space into a productive garden today!</p></div>"
bac-sureleve-galvanise-240x40x45cm-jardin-exterieur,Bac surélevé galvanisé renforcé 244 x 40 x 45 cm,en_body,metafield:custom.body_html_en,Outsunny,1,false,,"<div class=""product-description""><p>Discover the joy of gardening with this Outsunny metal raised garden bed, designed to withstand Canadian elements while providing optimal growing space for your plants.</p><h3>Key Features:</h3><ul><li>Dimensions: 240 x 40 x 45 cm (L x W x H) - Holds up to 394 litres of soil</li><li>45cm depth perfect for vegetables, flowers, and deep-root plants</li><li>Galvanized steel with powder coating for rust and weather resistance</li><li>Inner support bars and reinforced corners for maximum stability</li><li>Open bottom design for excellent drainage and healthy root growth</li><li>Anti-cutting edges for safe handling during assembly</li><li>Easy assembly required - please wear gloves during installation</li><li>Elegant dark grey color complements any outdoor space</li></ul><p><strong>Free shipping across Canada!</strong> Perfect for balconies, patios, yards, and Canadian gardens.</p></div>","<div class=""product-description""><p>Discover the joy of gardening with this metal raised garden bed, designed to withstand Canadian elements while providing optimal growing space for your plants.</p><h3>Key Features:</h3><ul><li>Dimensions: 240 x 40 x 45 cm (L x W x H) - Holds up to 394 litres of soil</li><li>45cm depth perfect for vegetables, flowers, and deep-root plants</li><li>Galvanized steel with powder coating for rust and weather resistance</li><li>Inner support bars and reinforced corners for maximum stability</li><li>Open bottom design for excellent drainage and healthy root growth</li><li>Anti-cutting edges for safe handling during assembly</li><li>Easy assembly required - please wear gloves during installation</li><li>Elegant dark grey color complements any outdoor space</li></ul><p><strong>Free shipping across Canada!</strong> Perfect for balconies, patios, yards, and Canadian gardens.</p></div>"
bac-sureleve-240x80x45cm-acier-galvanise,Bac de jardinage surélevé galvanisé 240 x 80 x 45 cm,en_body,metafield:custom.body_html_en,Outsunny,1,false,,"<div class=""product-description""><p>Discover the joy of gardening with this Outsunny metal raised garden bed. Perfect for growing your favorite vegetables, herbs, and flowers across Canada.</p><h3>Key Features:</h3><ul><li><strong>45cm Growing Depth</strong> - Perfect for root vegetables, holds up to 826.5L of soil</li><li><strong>Durable Galvanized Steel</strong> - Powder-coated frame resists rust and Canadian weather</li><li><strong>Enhanced Stability</strong> - Inner support bars and thick corner sheets prevent cracking</li><li><strong>Open Bottom Design</strong> - Excellent drainage promotes healthy root growth</li><li><strong>Safety First</strong> - Anti-cutting edges for safe handling during setup</li><li><strong>Easy Assembly</strong> - Simple installation, gloves recommended</li><li><strong>Large Capacity</strong> - Dimensions: 240 x 80 x 45 cm (outer)</li><li><strong>Sleek Design</strong> - Matte black finish complements any garden</li></ul><p><strong>Free shipping across Canada</strong> - Transform your outdoor space today!</p></div>","<div class=""product-description""><p>Discover the joy of gardening with this metal raised garden bed. Perfect for growing your favorite vegetables, herbs, and flowers across Canada.</p><h3>Key Features:</h3><ul><li><strong>45cm Growing Depth</strong> - Perfect for root vegetables, holds up to 826.5L of soil</li><li><strong>Durable Galvanized Steel</strong> - Powder-coated frame resists rust and Canadian weather</li><li><strong>Enhanced Stability</strong> - Inner support bars and thick corner sheets prevent cracking</li><li><strong>Open Bottom Design</strong> - Excellent drainage promotes healthy root growth</li><li><strong>Safety First</strong> - Anti-cutting edges for safe handling during setup</li><li><strong>Easy Assembly</strong> - Simple installation, gloves recommended</li><li><strong>Large Capacity</strong> - Dimensions: 240 x 80 x 45 cm (outer)</li><li><strong>Sleek Design</strong> - Matte black finish complements any garden</li></ul><p><strong>Free shipping across Canada</strong> - Transform your outdoor space today!</p></div>"
bac-de-jardinage-sureleve-61cm-profond-acier-galvanise-220cm,Bac de jardinage surélevé galvanisé 61 cm profond,en_body,metafield:custom.body_html_en,Outsunny,1,false,,"<p>Enhance your Canadian gardening experience with this deep Outsunny galvanized steel raised garden bed. Perfect for growing vegetables, herbs, and flowers in any climate.</p><h3>Key Features:</h3><ul><li><strong>Extra Deep 24"" Design</strong> - Perfect for deep-rooted plants like tomatoes, carrots, and potatoes</li><li><strong>Tool-Free Assembly</strong> - Quick snap-on buckle system with protective gloves included</li><li><strong>Galvanized Steel Construction</strong> - Powder-coated finish resists rust through Canadian winters</li><li><strong>Safe Design</strong> - Folded edges and rounded corners prevent injuries</li><li><strong>Plant Labels Included</strong> - Track your garden's growth journey easily</li><li><strong>Natural Drainage</strong> - Open bottom promotes healthy root development</li><li><strong>Generous Size</strong> - 220 x 53 x 61 cm overall, 215 x 47 x 61 cm planting space</li><li><strong>Free shipping</strong> across Canada</li></ul><p><strong>Ideal for:</strong> Vegetables, herbs, flowers, urban gardening, and balcony growing.</p>","<p>Enhance your Canadian gardening experience with this deep galvanized steel raised garden bed. Perfect for growing vegetables, herbs, and flowers in any climate.</p><h3>Key Features:</h3><ul><li><strong>Extra Deep 24"" Design</strong> - Perfect for deep-rooted plants like tomatoes, carrots, and potatoes</li><li><strong>Tool-Free Assembly</strong> - Quick snap-on buckle system with protective gloves included</li><li><strong>Galvanized Steel Construction</strong> - Powder-coated finish resists rust through Canadian winters</li><li><strong>Safe Design</strong> - Folded edges and rounded corners prevent injuries</li><li><strong>Plant Labels Included</strong> - Track your garden's growth journey easily</li><li><strong>Natural Drainage</strong> - Open bottom promotes healthy root development</li><li><strong>Generous Size</strong> - 220 x 53 x 61 cm overall, 215 x 47 x 61 cm planting space</li><li><strong>Free shipping</strong> across Canada</li></ul><p><strong>Ideal for:</strong> Vegetables, herbs, flowers, urban gardening, and balcony growing.</p>"
serre-de-jardin-portable-143x143x195cm-8-etageres,Serre de jardin portable 142 x 142 x 196 cm avec 8 étagères,en_body,metafield:custom.body_html_en,Outsunny,1,false,,"<div class='product-description'><p>This Outsunny portable walk-in greenhouse is perfect for Canadian gardeners looking to extend their growing season. With 8 wire shelves and a convenient zippered door, it provides optimal growing conditions for seedlings, young plants, and herbs.</p><h3>Key Features:</h3><ul><li><strong>8 wire shelves</strong> - 4 on each side providing ample growing space</li><li><strong>Roll-up zippered door</strong> - Easy 31.5"" x 59"" access opening</li><li><strong>Rust-resistant steel frame</strong> - Durable PVC transparent cover</li><li><strong>Walk-in size</strong> - 56.25"" x 56.25"" x 76.75"" spacious interior</li><li><strong>Tool-free assembly</strong> - Easy setup and portable for seasonal storage</li><li><strong>33 lbs per shelf capacity</strong> - Strong support for all your plants</li><li><strong>Complete kit included</strong> - 4 guy ropes and galvanized ground stakes</li><li><strong>Solar energy retention</strong> - Extends growing season in Canadian climate</li></ul><p><strong>Free shipping</strong> across Canada. Ideal for protecting your plants from unpredictable spring and fall weather while maximizing your garden space.</p></div>","<div class='product-description'><p>This portable walk-in greenhouse is perfect for Canadian gardeners looking to extend their growing season. With 8 wire shelves and a convenient zippered door, it provides optimal growing conditions for seedlings, young plants, and herbs.</p><h3>Key Features:</h3><ul><li><strong>8 wire shelves</strong> - 4 on each side providing ample growing space</li><li><strong>Roll-up zippered door</strong> - Easy 31.5"" x 59"" access opening</li><li><strong>Rust-resistant steel frame</strong> - Durable PVC transparent cover</li><li><strong>Walk-in size</strong> - 56.25"" x 56.25"" x 76.75"" spacious interior</li><li><strong>Tool-free assembly</strong> - Easy setup and portable for seasonal storage</li><li><strong>33 lbs per shelf capacity</strong> - Strong support for all your plants</li><li><strong>Complete kit included</strong> - 4 guy ropes and galvanized ground stakes</li><li><strong>Solar energy retention</strong> - Extends growing season in Canadian climate</li></ul><p><strong>Free shipping</strong> across Canada. Ideal for protecting your plants from unpredictable spring and fall weather while maximizing your garden space.</p></div>"
serre-portative-4-etages-143x73x195cm-jardin-plantes,Serre portable 4 étages avec étagères métalliques,en_body,metafield:custom.body_html_en,Outsunny,1,false,,"<p><strong>Create the perfect growing environment with this Outsunny portable greenhouse!</strong></p><p>This compact 56"" x 29"" x 77"" greenhouse provides an ideal growing environment for flowers, plants, and vegetables. Built with a reinforced steel frame and covered with durable transparent PVC film, it maintains consistent temperatures essential for healthy plant growth.</p><h3>Key Features:</h3><ul><li><strong>Reinforced steel construction:</strong> Durable frame built for long-term outdoor use</li><li><strong>Transparent PVC cover:</strong> Maximizes sunlight exposure while allowing easy plant monitoring</li><li><strong>8 wire shelves:</strong> 4-tier design holds seed trays, potted plants, and gardening tools</li><li><strong>Roll-up zippered door:</strong> Easy access with large front door featuring double zippers</li><li><strong>Anchoring system included:</strong> 4 tie-down ropes and anchors for added stability</li><li><strong>Lightweight & portable:</strong> Only 14 lbs, easy to relocate during harsh weather</li><li><strong>Versatile placement:</strong> Perfect for patios, balconies, decks, backyards, gardens</li><li><strong>Simple assembly:</strong> Easy setup, no specialized tools required</li></ul><p><em>Free shipping across Canada! Ideal for protecting young plants or extending your growing season.</em></p>","<p><strong>Create the perfect growing environment with this portable greenhouse!</strong></p><p>This compact 56"" x 29"" x 77"" greenhouse provides an ideal growing environment for flowers, plants, and vegetables. Built with a reinforced steel frame and covered with durable transparent PVC film, it maintains consistent temperatures essential for healthy plant growth.</p><h3>Key Features:</h3><ul><li><strong>Reinforced steel construction:</strong> Durable frame built for long-term outdoor use</li><li><strong>Transparent PVC cover:</strong> Maximizes sunlight exposure while allowing easy plant monitoring</li><li><strong>8 wire shelves:</strong> 4-tier design holds seed trays, potted plants, and gardening tools</li><li><strong>Roll-up zippered door:</strong> Easy access with large front door featuring double zippers</li><li><strong>Anchoring system included:</strong> 4 tie-down ropes and anchors for added stability</li><li><strong>Lightweight & portable:</strong> Only 14 lbs, easy to relocate during harsh weather</li><li><strong>Versatile placement:</strong> Perfect for patios, balconies, decks, backyards, gardens</li><li><strong>Simple assembly:</strong> Easy setup, no specialized tools required</li></ul><p><em>Free shipping across Canada! Ideal for protecting young plants or extending your growing season.</em></p>"
